"Story","Title","Result","Date","Stability","Duration (s)"
"Best Buy Application","Product CRUD Test","SUCCESS","2023-01-10T18:37:24.004Z[Europe/London]","0.0","5.6"
"Best Buy Application","Store CRUD Test","SUCCESS","2023-01-10T18:37:30.978Z[Europe/London]","0.0","0.62"
"Testing different request on the best buy application","Check if the product api can be accessed by GET request","SUCCESS","2023-01-10T18:37:31.717Z[Europe/London]","0.0","0.34"
"Testing different request on the best buy application","Check if the product api can be accessed by POST request","SUCCESS","2023-01-10T18:37:32.125Z[Europe/London]","0.0","0.05"
"Testing different request on the best buy application","Check if the product api can be accessed by PUT request","SUCCESS","2023-01-10T18:37:32.301Z[Europe/London]","0.0","0.06"
"Testing different request on the best buy application","Check if the product api can be accessed by DELETE request","SUCCESS","2023-01-10T18:37:32.467Z[Europe/London]","0.0","0.04"
"Testing different request on the best buy application","Check if  store api can be accessed by GET request","SUCCESS","2023-01-10T18:37:32.656Z[Europe/London]","0.0","0.09"
"Testing different request on the best buy application","Check if  store api can be accessed by POST request","SUCCESS","2023-01-10T18:37:32.857Z[Europe/London]","0.0","0.05"
"Testing different request on the best buy application","Check if the store api can be accessed by PUT request","SUCCESS","2023-01-10T18:37:32.992Z[Europe/London]","0.0","0.09"
"Testing different request on the best buy application","Check if the store api can be accessed by DELETE request","SUCCESS","2023-01-10T18:37:33.222Z[Europe/London]","0.0","0.05"
"Product data driven test","Data driven test for adding multiple product to the application","SUCCESS","2023-01-10T18:37:34.805Z[Europe/London]","0.0","0.92"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource for store api","SUCCESS","2023-01-10T18:37:35.691Z[Europe/London]","0.0","0.02"
"Tags test","Provide a 500 status code when incorrect HTTP method is used to access resource for product api","SUCCESS","2023-01-10T18:37:35.714Z[Europe/London]","0.0","0.01"
"Tags test","This test will verify if a status code of 200 is returned for GET request for store","SUCCESS","2023-01-10T18:37:35.728Z[Europe/London]","0.0","0.07"
"Tags test","This test will verify if a status code of 200 is returned for GET request for product api","SUCCESS","2023-01-10T18:37:35.800Z[Europe/London]","0.0","0.29"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource for store api","SUCCESS","2023-01-10T18:37:36.094Z[Europe/London]","0.0","0.01"
"Tags test","This test will provide an error code of 404 when user tries to access an invalid resource for product api","SUCCESS","2023-01-10T18:37:36.108Z[Europe/London]","0.0","0.01"
